

*********************** A-C **********************
account for - to explain the reason of something	How can you account for your absence at the meeting?
fit in - 1. to have enough space for something; 2. to match, to suit someone or something	1. I think we can fit in my computer table here. 2. He doesn't have any friends because he doesn't fit in with anyone.
forget about someone or something - to fail to remember	Sorry, I forgot about your request. Don't forget about Tom. He is waiting for your call.
forgive someone for something - to excuse, to pardon someone for something	Please forgive me for losing your book. Please forgive me for letting you down. I'll never do that again.
get across - 1. to cross, to get to the other side; 2. to become understood, to relate the meaning clearly	1. How will we get across the river? 2. The meaning of his message doesn't get across. Did her poem get across to you?
get along - to get on, to make progress	How are you getting along? Is your book getting along?
get along with someone - to be on good terms with someone	Does Mary get along with her roommate? Jim and Liz don't get along with each other.
get at something - 1. to reach something; 2. to hint at something	1. Can you get at the top of the shelf? We need to get at the cause of this problem. 2. What are you getting at?
get away - 1. to escape; 2. to have a holiday away from home	1. The guard forgot to lock the door, and the thieves got away. 2. We need rest. Let's get away just for one day.
get away from someone - to escape from someone	The robbers managed to get away from the police.
get away with something - to escape punishment for wrongdoing	The police didn't find the thief. He got away with his crime. He got away with it. They got away with the stolen diamonds.
get back - to return	We were away on vacation. We got back yesterday. Get back to work.
get by - to manage to live, to go on in spite of difficulties	Don't worry, we'll get by somehow.
get by someone - 1. to manage to go past someone; 2. to escape someone's attention	1. How did he get by the guards and the dogs? 2. He is very perceptive and attentive. Even small things don't get by him.
get down - 1. to come down; 2. to depress, to discourage someone	1. Jimmy, get down from that tree right now! - Mommy, I can't get down! 2. This gloomy weather really gets me down. Nothing can get me down now.
get down to (work, business) - to concentrate on (work, business)	Let's get down to business. It's already ten o'clock. Let's get down to work.
get in - to get inside	How did he get in? He got in through the window.
get into something - to enter (some place, state)	Get into the car! She doesn't get into town often. He got into trouble.
get something off something - to remove something from something	Get your feet off the table! Get your hand off my shoulder!
get off the bus, train, plane - to leave the bus, train, plane	He got off the train at the River Station.
get on - to get along, to make progress	How are you getting on? Is your book getting on?
get on the bus, train, plane - to take a bus, train, plane	He got on the bus on Maple Avenue.
get out (of something) - to get outside	She broke the window and got out. Get out of the house! He got out of the car and walked to the bank.
get over something - to recover from an illness or bad experience	You'll get over it soon. I'm glad you got over your illness so quickly. He'll get over these difficulties soon.
get through something - to go through something	The refrigerator won't go through this narrow door. I don't know how he got through college, he never studied.
get to some place - 1. to reach some place; 2. get to someone - to affect feelings	1. We got to London at night. 2. This music really gets to me.
get together - to meet with friends or relatives for a party	We should get together again some time. Their family usually gets together for Christmas.
get up - to rise	He gets up at eight o'clock.
give away - 1. to give for free; 2. to reveal (a secret, feelings); to inform against someone	1. She gave away a lot of books. 2. Her trembling voice gave away her fear. He gave away several gang members to the police.
give back - to return something	He gave back the money that he owed.
give in - to yield, to surrender	Don't give in without a fight.
give out - 1. to hand out; 2. to come to an end; to fail, to stop functioning	1. The teacher gave out the test papers. 2. His strength gave out, and he fell.
give something to someone or something - to present, to hand, to pass something to someone / something	Give the book to Ann. Give my regards to your family. He gives all his time to work. She often gives to charity.
give up - to stop doing or trying to do something	She gave up smoking a year ago. I gave up trying to fix my old car. Don't give up! Keep trying!
go ahead - to go in front; to proceed with something; to begin (speaking)	You go ahead, I'll join you later. The director allowed him to go ahead with his plan of changes. Go ahead, we are listening.
go along (the road, street) - to go down (the road, street)	He went along Maple Street to the center.
go away - to leave	Don't go away, please wait here.
go back - to return (to some place, state, etc.)	He went back to his hometown. Go back three pages. Go back to sleep.
go back on (one's word, promise) - to fail to fulfill a promise	He promised he would help, but then he went back on his word.
go by - 1. to go past; 2. go by bus, by car, by plane, by train - to travel by bus, car, etc.; 3. go by the name - to pass by the name, to live under a certain name	1. She went by me without saying hello. I went by the park and the church. 2. He always goes to work by car. We went there by plane. Next time we'll go there by train. 3. He goes by the name Smith.
go by - to pass (about time)	Years go by, people get older.
go down - to become lower, to fall	The prices never go down. His temperature is going down. The sun will go down soon. He went down with pneumonia. Our sales have been going down for a long time.
go down (the stairs, road) - 1. to descend; 2. to go along the road	1. He went down the stairs to the train platform. 2. Go down this street and turn left at the bank.
go for something - 1. to go and do something; 2. to make an attempt at something new; 3. to favor someone or something	1. Let's go for a walk. Let's go for a drive. 2. He decided to go for the tournament. Go for it! 3. I don't go for this plan. If I were you, I'd go for Candidate No. 2.
go in - to enter, come in	The door was open, so he went in.
go into something - 1. to enter; 2. to examine in detail	1. He went into that building. 2. I can't go into your report now.
go off - 1. to give a sudden loud sound (about an alarm clock, car alarm); 2. to be switched off (about light, electricity)	1. The alarm clock went off at six o'clock. 2. The power went off again yesterday.
go on - to continue	Go on reading. Please go on.
go out - 1. to go outside; 2. to go to entertainment places (parties, movies, restaurants)	1. He went out to get a newspaper. 2. Jim and Mary went out yesterday. They went to a French restaurant. They don't go out often.
go over something - 1. to review, to look over something; 2. to examine something	1. Go over these chapters again. 2. I need time to go over your report.
go through - to be accepted, approved or completed	The deal went through. His plan will never go through. He will never go through with his plan.
go through something - 1. to pass through something; 2. to live through something; 3. to look through something	1. The refrigerator won't go through this narrow door. She went through the park. 2. He's gone through a lot of suffering. 3. Go through these chapters again.
go to (some place) - to reach, visit, attend, travel to (some place)	Go to bed. Go to page 9. He went to the bank yesterday. He went to Rome last month. Her son goes to law school. I have to go to work now. Does this bus go to the center?
go together - 1. to match; 2. to accompany; 3. to date someone	1. This scarf and this dress don't go together. 2. Kindness and generosity often go together. 3. Tom and Liz have been going together for a year.
go up - 1. to rise; 2. to climb (the stairs, the hill)	1. The prices have gone up again. His temperature is going up. 2. He went up the stairs to his room. He went up the hill quickly.
go with something or someone - 1. to match; 2. to accompany; 3. to date someone	1. This scarf doesn't go with this dress. Apples go with cheese. 2. I'll go with you to the store. 3. Tom went with Gina before he met Liz.
grab at something - to use eagerly (the opportunity, the chance)	He grabbed at the opportunity to get a job with that company.
graduate from school - to finish school	He graduated from college in 1997.
grow apart - to become separate (about friends, opinions)	They were good friends some time ago, but they grew apart with years.
grow into someone - to become someone	He grew into a fine young man.
grow on someone - to begin to like someone or something gradually	This small town grows on you with every day. First she didn't like Jim, but he grew on her as she got to know him better.
grow out of something - 1. to become too large for old clothes; 2. to originate from something	1. This boy is growing so fast! He grew out of all his clothes. 2. His latest novel grew out of a brief encounter with a deer hunter.
grow up - to become a grown-up	He grew up in New York. When will you grow up?
hand in - to submit	Your time is up. Please hand in your test papers.
hand out - to give, to distribute	Twice a week she helps to hand out blankets and clothes to homeless people.
hang in there - to go on in spite of difficulties, to persevere	Hang in there! Help is coming! Hang in there! Don't give up!
hang on - 1. to hold fast; 2. to go on in spite of difficulties; 3. to wait by the telephone	1. Hang on, we are going to jump. 2. Tell him to hang on for a couple of hours, a rescue team is on the way. 3. Hang on, I'll see if he is in.
hang out - 1. to lean out, stick out of (the window); 2. (slang) to spend much time in some (favorite) place	1. It's dangerous to hang out of the window. 2. Where can I find them? - They usually hang out in the bar on Oak Street.
hang up - 1. to place something on a hook; 2. to put down the receiver	1. You can hang up your coat on the coat rack in the hall. 2. He thanked her and hung up.
hang up on someone - to put down the receiver in the middle of the conversation	He hung up on her, and after that they never spoke again. Don't hang up on me!
happen to someone	What happened to Tom? He looks awful.
have something against someone - to be against	What do you have against my plan? He has a couple of things against you.
head for (some place) - to go to (some place)	They headed for New York last week.
hear about something - to learn about something	Have you heard about the accident?
hear from someone - to have news from someone	I haven't heard from him in years.
help someone out - to help someone in a difficult situation	He helped her out when she lost her job. Thank you for helping me out.
help someone with something - to assist someone with something	What can I help you with? He helped me with my report / with my work.
hint at something - to suggest something indirectly	What are you hinting at? He hinted at this possibility.
hint to someone - to suggest something indirectly to someone	He hinted to me that he wanted to buy that house.
hit upon something - to discover something valuable	They hit upon gold. I hit upon a plan.
hold back - to restrain or refrain from something	The barricades will hold back the crowds for some time. She tried to hold back her tears. He held back several important facts.
hold down - to keep something down	Can you hold down the noise? Hold down the Ctrl key and press Home.
hold on - 1. to continue holding firmly; 2. to go on in spite of difficulties; 3. to stop; to wait on the telephone	1. Catch the rope and hold on! 2. How long can they hold on? 3. Hold on, I forgot my key. Hold on, I have to check with my calendar.
hold onto something - to hold something firmly	Catch the rope and hold onto it! Hold onto my arm.
hold out - 1. to extend (one's hand); 2. to last, to go on in spite of difficulties	1. He held out his hand. 2. How long will this weather hold out? How much longer will they hold out without help?
hold up - 1. to delay someone; 2. to perform armed robbery	1. I'm sorry I'm late. I was held up in traffic. 2. This bank was held up twice last year. They held him up and almost killed him.
hurry up - to do something faster	Hurry up, we are already late! Please hurry up!
inform someone about / of something - to tell someone about something	He informed the committee about his decision to resign from his post.
inform someone against someone - to tell on someone	He informed the police against his neighbor.
insist on something - to demand, to urge someone to do something	He insists on selling the house. I insist on my plan. I insist on telling him the truth.
introduce someone to someone or something - 1. to present someone to other people; 2. to make someone familiar with something	1. She introduced him to her friends. 2. He introduced me to the main aspects of this profession.
invest something in something - to put in (money, hopes, work, time, etc.)	He invested a lot of money, time, and effort in this business.
invite someone to something - to ask to come as a guest	They invited me to dinner. She was invited to the wedding.
involve someone in something - to make someone participate in something	His friends involved him in criminal activity. Don't involve me in your quarrel! Try to involve him in sports. Many students are involved in this project.
be involved with someone or something - (passive) to have a close relationship with someone; to be preoccupied with something	He is involved with some criminals. He is deeply involved with this problem and can't think about anything else.
judge by something - to form an opinion on the basis of something	Judging by the look of the house, nobody lives in it. Don't judge a book by its cover!
keep at it - to persist in doing something	You can master English pronunciation if you keep at it.
keep away (from someone or something) - to keep at distance, to stay away (from)	An apple a day keeps the doctor away. What has kept you away for so long? Keep away from her, she is bad company.
keep down - to prevent from rising, keep at a lower level	Can the government keep the prices down? Can you keep the noise down?
keep (someone) from (doing) something - to prevent; to avoid	We must keep him from going there alone. I tried to keep bad news from him, but he learned the truth. Try to keep from arguing with him.
keep off something - to stay away from something	Keep off the grass! Keep your hands off my books! Please keep off this delicate subject in her presence.
keep on - to go on doing something	Keep on working. She kept on thinking about the problem.
keep out - not to enter	Private property! Keep out!
keep out of something - 1. not to enter; 2. to stay away from something	1. Keep out of this building. 2. I'll handle it myself, you should keep out of this. Try to keep her out of trouble.
keep up - to maintain the high level of something	Keep up the good work. Keep it up.
keep up with (someone) - to remain at the same level as someone richer, faster or more advanced	She is always trying to keep up with the richer neighbors. She was too fast, I couldn't keep up with her.
knock at / on (the door, wood) - to beat lightly on something	Somebody is knocking on the door. Knock on wood to ward off bad luck.
knock down / over - to make someone or something fall down	He accidentally knocked over a vase. He knocked down the man who attacked him.
knock it off - (slang) stop it (e.g. fight, noise)	Knock it off, I said, or I'll call the guards!
knock out - to defeat, to cause to stop functioning	The blow knocked him out. Her beauty knocked him out.
lag behind someone - to be behind someone	The little boy lagged behind the older boys. He is lagging behind the other students.
laugh at something or someone - to laugh at a joke; to make fun of someone / something	We all laughed at his jokes. The boys laughed at the new boy. They laughed at his accent.
lay off - 1. to reduce staff or dismiss workers temporarily; 2. (slang) to stop bothering someone	1. The factory didn't make any profit last year, and many workers were laid off. 2. Lay off, dude, or I'll call the police!
lay out - 1. to spread out; 2. to arrange, to spread	1. The town laid out before our eyes. 2. The nurse laid out the instruments before the operation.
lead on - show the way	You know the way, so you lead on, and we will follow.
lead someone on - make someone believe something that isn't true	They suspect that you are leading them on. You led me on!
lead to something - 1. to guide to something; 2. to result in something	1. He led us to the director's office. This road leads to a nice lake. 2. His carelessness led to a tragic accident.
leaf through something - to look through something	He leafed through the newspaper quickly.
leave for - 1. to go to (some place); 2. to abandon one thing and start another	1. The train leaves for Paris at six o'clock. 2. He left his wife for a younger woman. He left his job for a sailing expedition.
leave from (some place) - to depart from (some place)	The train leaves from Rome at 6:30.
leave out - to omit, to exclude	He left out several important facts in his report. Leave out the dirty details, please.
leave something to someone - to give something to someone (as inheritance or for work)	She left the house to her son. Leave it to me, I'll do it. Leave this task to Jim.
lend something to someone - to give something to someone on the condition of returning it	I lent 50 dollars to a friend of mine till Saturday.
let someone down - to fail someone	You let me down last time, don't fail me again. Don't let me down!
let someone in - to allow someone to come in	Please open the door and let me in. Let her in.
let someone out - to allow someone to get out	Please open the door and let me out. Let her out.
listen to someone or something - 1. to pay attention by listening; 2. to obey someone	1. Listen to the teacher. He is listening to music. 2. You should listen to your parents.
live on something - 1. to live on some street; 2. to live on certain food; 3. to live on certain income	1. She lives on Baker Street. 2. She lives on apples, bread, and cheese. 3. She lives on 500 dollars a month.
lock in - to be locked inside	He locked himself in and can't get out.
lock out - to prevent someone from entering	The boy locked himself out. He had to wait outside till his mother returned.
lock up - to close using a lock	He forgot to lock up the house before he left. The police caught the robber and locked him up.
long for something - to yearn for something, to want very much	He longed for a real friend, but he was always alone.
look after someone or something - to watch, take care of someone or something	A babysitter looks after the children when their mother is at work.
look around - to see what is around	He came in and looked around. Can I help you? - No, thank you, I'm just looking around.
look at someone or something - 1. to take a look at someone or something; 2. to consider, to examine something	1. He looked at her for a long time. He looked at the car across the street. What are you looking at? 2. I'll look at your report tomorrow.
look away - to turn one's eyes away from someone or something	He said hello to her, but she looked away. Don't look away when I'm talking to you.
look back - 1. to turn back and look; 2. to review the past	1. He looked back, but she was gone. 2. Looking back on my youth, I must say that we were not as career-oriented as young people are today.
look down - to direct one's eyes down	Don't look down from the roof. You may feel dizzy. He tried to see her eyes, but she looked down.
look down on someone - to regard someone with contempt	After she became rich, she began to look down on her former friends.
look for someone or something - to search for someone or something	I'm looking for Tom Brown. What are you looking for? I'm looking for my glasses.
look forward to something - to expect with eagerness	I'm looking forward to your letter.
look in (some place) - to see if something is there	Where are my keys? - Look in the top drawer of the hall stand. Look in the kitchen. Look in your bag.
look into something - to examine, to investigate something	The police are looking into the matter. You should look into this problem.
look out - to watch out, to be careful	Look out! There's a big dog right behind you! Look out! The bus is coming.
look out of (the window)- to look outside	He looked out of the window.
look over something - 1. to examine something, to go over something; 2. to open onto something	1. Look over your notes before the test. I need time to look over your report. 2. My window looks over a large garden.
look through something - 1. to take a look through something (glass, hole) 2. to examine, look over (notes)	1. Look through this glass. Look through this hole. 2. Look through your notes before the test.
look to it - to see to something	Look to it that all is done as we agreed.
look up - 1. to direct the eyes upward; 2. to search for and read some information in a reference book	1. He put aside his newspaper and looked up. 2. Look up this information in the encyclopedia. Look up the new words in the dictionary. Look them up.
look up to someone - to regard someone with admiration or respect	A young boy always looks up to his father or older brother. He was a born leader. We always looked up to him.
make away / off - to escape in a hurry	Her boyfriend made off as soon as her father came home.
make away / off with something - to escape with stolen goods	The robbers made away with two million dollars.
make for (some place) - to head for (some place)	After the bell, the students made for the door.
make something from something - to produce, to create something by processing some initial material	She made a new dress from a cut of silk fabric. Cheese is made from milk. Paper is made from wood pulp.
make of something - 1. to understand or interpret something unclear; 2. to be made of something - to be made up of some material	1. What do you make of it? I don't know what to make of his letter. 2. This ring is made of gold. This house is made of brick. This dress is made of silk.
make out - to understand, to see, to decipher something unclear	I can't make out the number of the house in the dark. I can't make out what he wrote.
make over - to remodel	The guest room was made over into a nursery room.
make up - 1. to compose, to create (a story, plan); 2. to apply cosmetics; 3. to become friends again	1. Make up a story about your summer vacation. 2. She made up her eyes and lips. Her face was made up heavily. 3. Tom and Liz had a terrible fight, but they made up yesterday. I'm tired of fighting. Let's make up.
make up for something - to compensate for a loss	The client will make up for the time and money you spend on this project.
make it up to someone - to compensate someone for favors or losses with good actions or things	I'm sorry I lost your Twisted Sister record, but I'll make it up to you by giving you their album of rare recordings.
mark down - to reduce the price of something	These coats have been marked down by 20%.
mark up - to raise the price (by adding tax, expenses, etc.)	These items have been marked up because of our growing expenses.
mark something with something - to make more visible	Mark mistakes with a red pencil. New words are marked with an asterisk.
move in - to begin to reside in some place	Our new neighbors have just moved in.
move into (some place) - to begin to reside in some place	They've just moved into a new house.
move on - to go on, to go further	Life goes on; we need to move on too. Let's move on to the third question.
move out - to leave one's place of residence	They moved out; I don't know their new address. They moved out of the house.
move over - to move in order to give space	Can you move over a little?
move to - 1. to change the place of living; 2. to affect feelings, to give rise to some emotion	1. They moved to another house last year. 2. She was moved to tears by his story.
nag at someone - to complain about something	She is always nagging at her husband.
name someone after someone - to name in honor of someone	He was named after his famous uncle. They named their son after his uncle.
negotiate (with someone) for something - to conduct talks in order to reach agreement or get something	They negotiated for the new contract, but they didn't get it. The employees are negotiating with the management for a better benefits package.
nominate someone for something - to name as a candidate for a position or award	She was nominated for the award, but it was given to another actress.
notify someone of something - to inform someone about something	They notified the police of his crime. The tenants were notified of the coming reconstruction a month ago.
object to something - to be against something	He objects to going there tonight. He objected to my plan.
occur to someone - to come to one's mind, to cross one's mind	It didn't occur to me to ask you about it. It occurred to me that I didn't see Tom yesterday. Where was he?
offer (a certain sum) for something - to intend to give for something	How much do they offer for the house? They offer 50,000 dollars for it.
offer something to someone - to intend to give to someone	They offered 50,000 dollars to her mother.
open (the door) to someone - to open the door and let someone in	Don't open the door to anyone!
open into (some place) - to open inward	This door opens into a narrow corridor.
open on / onto (some place) - to open outward	The window opens onto a large garden.
open something with something - 1. to open with a tool; 2. to start with	1. He opened the door with a key. 2. The director opened the meeting with a joke.
owe for something - to have to pay for something	How much do I owe for the book? How much do I owe you for the book?
owe something to someone - 1. to have to pay back to someone; 2. to feel indebted to someone; to feel that something is the result of something	1. He owes $15,000 to the law company that represented him. 2. He owes his language skills to his mother who taught him French and German in his childhood. I really owe it to her. He owes his success in life to hard work.
pack into something - to press things or people into one place	She tried to pack all her clothes into one suitcase. Students packed into the room.
pack it in / pack it up - to stop, to quit doing something	I'm sick and tired of your whining! Pack it in!
pack off - to send someone away in a hurry, to bundle off	His relatives packed him off unceremoniously back to his hometown because he was not good enough for them.
pack up - 1. to pack things into boxes, containers, suitcases for transportation; 2. to stop, to quit doing something	1. We are moving next week, so we are packing up now. Pack up your things and get out! 2. It's six o'clock; it's time to pack up. You'd better pack up smoking. This stuff will kill you.
pass away - 1. to end; 2. to die	1. Believe me, all your troubles will pass away. 2. He passed away several years ago.
pass by someone or something - 1. to go past, to go by someone or something; 2. pass by the name - to go by the name	1. She passed by me without saying hello. We passed by the park and the church. 2. He passes by the name Smith.
pass by - to go by, to pass	Years pass by, people get older.
pass for someone - to be accepted as someone (by trick)	This actor could pass for a lawyer.
pass out - to lose consciousness	She passed out, call the ambulance.
pass over something - to go over / above some place	The new metro line will pass over this road and railway tracks.
pass up - to miss or reject (an opportunity)	This is a great chance to get a nice job, you shouldn't pass it up.
pay back - 1. to repay, return a debt; 2. to get even with someone	1. He paid back all his debts. He paid back his brother too. 2. You should pay him back for what he did to you.
pay for something - to give money for something	How much did you pay for this bag?
pay off - 1. to pay a debt in full; 2. to get even with someone; 3. to bribe; 4. to result in success	1. He paid off all his debts. 2. You should pay him off for what he did to you. 3. He was paid off to be silent. 4. The risk he took paid off nicely.
pay up - to pay fully	He must pay up, or we will take him to court. She hasn't paid up her bill.
pick at something or someone - 1. to touch only the surface of something; 2. to find fault with someone	1. She picked at her food, and didn't really eat anything. They didn't solve anything. They just picked at the problem. 2. Why are you always picking at me?
pick on someone - to choose for some purpose, often for criticism	The teacher always picks on Tom to answer difficult questions. Why doesn't he pick on someone else?
pick out - to select	She picked out two scarfs for her new coat.
pick up - 1. to lift; 2. to collect someone or something by car; 3. to gain speed; 4. to improve; 5. to answer the phone; 6. to tidy up	1. He bent down and picked up a penny from the ground. 2. I'll pick you up at seven o'clock. 3. The car quickly picked up speed. 4. Business is picking up. 5. The telephone is ringing, pick it up! Pick up the phone! 6. You need to pick up your room.
plug in - to connect an electrical device with an outlet	Plug in the coffee machine, please. Does the TV work? Is it plugged in?
plug up - to block or fill (a hole) with a plug	He plugged up the leak in the pipe under the sink.
point at / to someone or something - to direct (a finger, gun, attention) to someone/something; hint at something	Don't point a finger at people! Don't point at people! He pointed a gun at him. All the facts we have point to his guilt. She pointed at the possibility of leaving the company.
point out - to draw attention to something	I'd like to point out several important facts in this report.
prefer (one thing) to (another) - to like one thing more than the other	I prefer this song to that one. I prefer tea to coffee.
press for something - 1. to push for something, to try to achieve; 2. (passive) be pressed for (time, money) - not to have enough (time, money)	1. The employees keep pressing for a pay raise and a better benefits package. 2. Let's talk about it later. I'm pressed for time now. I'm pressed for money.
press on someone - to put someone under pressure	His troubles are pressing on him and his family. You shouldn't press your opinion on other people.
prevent someone from doing something - to stop someone from doing something	How can I prevent him from making this terrible mistake? His illness prevented him from coming to the meeting.
profit from something - to benefit from, to gain advantage or get profit from something	As a future doctor, she profited a lot from her hospital experience. He profited greatly from his move to Rome. The company profited greatly from the growing prices.
provide for someone - to supply the means of sustenance to someone	She provided for her son in her will. His children are provided for.
provide someone with something- to give, to supply with something	He provided us with information, food, and money for our trip.
pry into (someone's business) - to nose into other people's affairs	He has a nasty habit of prying into other people's affairs.
pull apart - 1. to take apart; 2. to criticize sharply	1. The dog pulled apart my new slippers. He pulled apart all of the new toys. 2. She is upset because the critics pulled her book apart.
pull at something - to tug at (a rope), to draw at (a cigarette, a drink)	He pulled at the rope, and the bell rang. He pulled at his cigarette in silence. She pulled at a drink through a straw.
pull back - to draw back, to move back	He wanted to hug her, but she pulled back. I pulled him back before he stepped into the hole.
pull down - 1. to draw downward; 2. to demolish	1. She pulled down the shades. 2. Several old buildings here were pulled down last year.
pull for someone - to support (a team, a candidate) actively	We pulled for our basketball team, but they lost the game anyway.
pull in - to arrive and stop (about a train, bus, car)	The bus pulled in at three o'clock.
pull into - 1. to drag into; 2. to arrive and stop (about a vehicle)	1. They pulled him into a car and drove off. Don't try to pull me into helping them. 2. The bus is pulling into the station.
pull off - 1. to take off (boots, sweater, etc.); 2. to leave (about a train, bus, car); 3. (slang) to accomplish, to succeed in something difficult	1. She pulled off her heavy boots and put on her slippers. 2. The bus pulled off a minute before I came to the bus stop. 3. He managed to pull off this trick again.
pull oneself together - to regain self-control	Stop crying and pull yourself together.
pull out (of something) - 1. to take out; 2. to leave (about a train, bus, car)	1. He pulled out a knife and threatened to kill them. He pulled a wallet out of his pocket. 2. The bus for Denver pulled out at 4:30. The bus is pulling out of the station now.
pull over - to drive to the side of the road and stop the car at the curb	The traffic police officer ordered us to pull over. Pull over at the bank, please.
pull through - to survive	I hope he will pull through.
pull up - 1. to lift by pulling; 2. to stop (about a car)	1. He pulled the rope up. He pulled up and got inside through the window. How many times can you pull up? 2. I was standing at the curb when a car pulled up in front of me.
push ahead - to advance despite difficulties	Though he was tired and hungry, he pushed ahead through the woods. He is stubbornly pushing ahead with his plan.
push aside - to shove others to get a place for oneself	He pushed her aside and got into the car. He pushed everyone aside to get this job.
push away - to move something or someone away from oneself	She pushed away her plate and stood up. His words pushed her away.
push someone into something - to make someone get in	They pushed him into the car and drove off.
push someone out of something - to make someone get out	They pushed him out of the car and drove off.
put aside - 1. to set aside; 2. to save; 3. to disregard something on purpose	1. Put aside your newspaper and listen to me. She put aside her writing career to take care of her son's health. 2. She puts aside a hundred dollars every month for her trip to Rome. 3. Let's put our differences aside and work out a plan that can save our company.
put away - to remove, to take away	Your clothes are all over this place; can you put them away?
put back - to return something to its place	Put my calculator back after you use it.
put down - 1. to put something lower; 2. to write down; 3. to depress or hurt someone	1. Put your bag down. He put down his pencil and closed his notebook. 2. I put down the figures that she dictated. 3. His attitude really puts me down.
put in - 1. to include or add; 2. to spend time, effort, or money on something	1. She put in a paragraph about her trip to Rome. Can I put in a word or two? 2. Every week he puts in six hours of volunteer work at the hospital.
put off - 1. to postpone; 2. to repel someone	1. Don't put off till tomorrow what you can do today. Don't put it off. 2. At first she liked him, but his arrogance soon put her off.
put on - 1. to dress; 2. to gain weight; 3. to pretend	1. She put on her coat and went out. 2. He put on ten kilograms in half a year. 3. She likes to put on an act. Don't listen to him, he is just putting you on.
put out - to extinguish (fire, cigarette, light)	Put out the light before you leave. Put out your cigarette, please.
put through - 1. to put into effect, to accomplish; 2. to connect by telephone	1. He wasn't able to put through the reorganization that he started. 2. Can you put me through to 555-3247?
put up with something - to tolerate something	I'm not going to put up with his rudeness.

********************************************* Q-Z *************************************************

quote from (some book) - to give the exact words from a book, text, etc.	He quoted (several lines) from his favorite poem. He often quotes from Shakespeare.
reach for something - to stretch one's hand to get something	He reached for the vase on the shelf above. She reached for her bag.
rely on someone / something - to count on, depend on someone / something	You can always rely on him. You can always rely on his help.
remember someone to someone - to send a greeting to someone	Remember me to your family.
remind someone of, remind someone about something - to help someone to remember something	This town reminds me of my hometown. She reminded me about my promise.
remove something from (some place) - to take away from (some place)	Please remove your books from the table. I removed the stains from your shirt.
replace someone / something by/with someone / something - to change one thing for another	Coal was replaced by electricity. Tom is sick, so we will have to replace him with Jim. He replaced the old pipe with a new one.
report on something - to give information on something	He reported on the current situation.
report to someone - 1. to inform someone about something; 2. to inform someone about arrival; 3. to answer to someone	1. He reported her absence to the boss. He'll report you to the police. 2. Please report to the registrar immediately. 3. She reports to the Head Office.
result from something - to have as a result because of something	The accident resulted from his carelessness.
result in something - to have as a result	My efforts resulted in nothing. His carelessness resulted in a tragic accident.
rip someone off - (slang) to steal from someone by charging him too much	That sleazy hotel manager ripped us off for 200 dollars. The car mechanic ripped you off!
roll out - to spread out, to unroll	He rolled out the carpet / the map.
run across someone / something - to meet or find by chance	I ran across an old friend yesterday. I ran across her old photo in that book.
run away (from someone, with someone) - to escape, to go away	His dog ran away. When he was 15, he ran away from home. The little boy ran away from his cruel father. When she was 17, she ran away with a traveling musician.
run for something - 1. to run to get something; 2. to try to get a position by election	1. Run for help! Run for cover! 2. He is going to run for President.
run into someone / something - to meet by chance, collide with, encounter someone / something	I ran into an old friend yesterday. He ran into a tree in the dark and hurt his knee. My project ran into difficulty.
run on something - to use as power or fuel	This car runs on electricity. This engine runs on diesel fuel.
run out - 1. to get out; 2. to end (about time, supplies)	1. The doors opened, and people ran out. My coffee ran out, and I had to make new coffee. 2. His contract runs out next year. Please hurry, our time is running out. Your time has run out. Now it's my turn.
run out of something - 1. to run outside; 2. to end (about supplies)	1. He ran out of the house. 2. We've run out of sugar. We are running out of time.
run over - 1. to knock down with a car; 2. to overflow	1. The poor dog was run over by a speeding car. 2. The water in the sink is running over, the pipe is clogged again.
run to - 1. to go to someone for help or advice; 2. to come to the amount	1. She always runs to him for help. 2. The bill ran to $300. The book runs to 500 pages.
save (something) for someone / something - to preserve, put aside for future use	Save this wine for next week. We have to save money for John's education. He's saving for a new computer.
save on something - to economize on something	She saves on chocolate and cake. We can't save on food!
save someone from something - to rescue someone from danger, harm, failure, loss, etc.	The man saved the boy from drowning. We can't save him from his own foolishness.
say for someone - to say in support of someone	There's not much I can say for him.
say something about - to express an opinion about something	What can you say about his new book? Please say something about my new hair style.
search for someone / something - to look for someone / something	He is searching for eternal beauty. The police are searching the city for the missing boy.
see about something - to see to something, to take care of something	I have to see about our airplane tickets. Did you see about the car repair?
see you around - to see, to meet with someone	Bye! See you around!
see someone off - to go to the place of departure and say goodbye	I saw him off to the airport. I went to the airport to see him off.
see through something - to see what is behind something	I can't see through this glass. We saw through his clever plan.
see to something - to take care of something, to look to it	I have to see to the car repair. See to it that all is done as we agreed. Don't worry, I'll see to it.
set apart - 1. to reserve (money) for future use; 2. to be different from other things or people	1. He set apart some money for his trip to Australia. 2. Her great sense of humor and quick wit set her apart from many other girls of her age.
set aside - 1. to put aside; 2. to reserve for someone; 3. to disregard something on purpose	1. Set aside your newspaper and listen to me. She set aside her writing career to take care of her son's health. 2. I asked the salesclerk to set aside the diamond ring for me. 3. Let's set our differences aside and work out a plan that can save our company.
set back - 1. to impede; 2. to set the time to an earlier time	1. The flood set back the development of the region. 2. When he arrived in New York, he set his watch back eight hours.
set forward - to set the time to a later time	When she arrived in Moscow, she set her watch forward two hours.
set in - to arrive, to begin and continue (about conditions, weather, etc.)	Hot summer set in. Darkness sets in early in winter. Dark thoughts set in making her worried and depressed.
